('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849098 function calls (822706 primitive calls) in 1.531 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2587    0.001    0.000    0.002    0.000 _lxml.py:345(data)
      859    0.001    0.000    0.001    0.000 __init__.py:648(_linkage_fixer)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     4010    0.001    0.000    0.001    0.000 element.py:1543(get)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     1380    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      134    0.001    0.000    0.002    0.000 _compiler.py:470(_get_charset_prefix)
     7675    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      344    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     4732    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     1076    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
     5967    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      202    0.001    0.000    0.005    0.000 _compiler.py:514(_compile_info)
    174/1    0.001    0.000    1.531    1.531 {built-in method builtins.exec}
      225    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
    231/5    0.001    0.000    0.179    0.036 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       17    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
     2653    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      202    0.001    0.000    0.083    0.000 _compiler.py:743(compile)
     3844    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1395    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
       29    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1673    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
    52/14    0.001    0.000    0.011    0.001 css_parser.py:911(parse_selectors)
      202    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     3778    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      826    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
       10    0.000    0.000    0.003    0.000 enum.py:894(_convert_)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      907    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
       11    0.000    0.000    0.120    0.011 {method 'join' of 'bytes' objects}
    202/5    0.000    0.000    0.178    0.036 <frozen importlib._bootstrap>:911(_load_unlocked)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2465    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      202    0.000    0.000    0.050    0.000 _parser.py:970(parse)
     2801    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      174    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
     1035    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
       41    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      932    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2822    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      256    0.000    0.000    1.005    0.004 ssl.py:1289(recv_into)
      199    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
       33    0.000    0.000    0.002    0.000 response.py:122(decompress)
     1616    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     2907    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       24    0.000    0.000    0.403    0.017 __init__.py:1(<module>)
      172    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      894    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      157    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
     3122    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      357    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
     4043    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
    172/4    0.000    0.000    0.178    0.045 <frozen importlib._bootstrap_external>:1020(exec_module)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2416    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1137    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      256    0.000    0.000    1.005    0.004 socket.py:706(readinto)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1029    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       24    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
       64    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      415    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
     1954    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1954    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
  202/199    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1912    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      202    0.000    0.000    0.032    0.000 _compiler.py:576(_code)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
     1762    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      320    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
  224/187    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
    485/9    0.000    0.000    0.178    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      633    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      327    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.055    0.055 fake.py:99(__init__)
      315    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      256    0.000    0.000    1.004    0.004 ssl.py:1129(read)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      202    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.002    0.000 typing.py:2994(__new__)
        8    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
     1953    0.000    0.000    0.000    0.000 _lxml.py:308(_prefix_for_namespace)
  548/530    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      495    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
      231    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1649    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       97    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       47    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      793    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      303    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      191    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      334    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      434    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       99    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
       22    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
  173/170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      225    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
     1182    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1182    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      375    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      315    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        6    0.000    0.000    0.001    0.000 __init__.py:775(__init__)
      274    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       55    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      356    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
    85/46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      369    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      202    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
       15    0.000    0.000    0.000    0.000 {built-in method _io.open}
      434    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      538    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       33    0.000    0.000    0.120    0.004 response.py:1173(read_chunked)
      439    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      572    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      440    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
