('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1038380 function calls (1006079 primitive calls) in 2.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     5303    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      448    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     4124    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2706    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      615    0.001    0.000    0.007    0.000 _connection.py:426(next_event)
  596/595    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
     3493    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     9328    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     1295    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
        5    0.001    0.000    0.404    0.081 {method 'join' of 'bytes' objects}
     6895    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      135    0.001    0.000    0.001    0.000 _compiler.py:470(_get_charset_prefix)
      290    0.001    0.000    0.002    0.000 _connection.py:260(_process_event)
    288/8    0.001    0.000    0.186    0.023 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      328    0.001    0.000    1.823    0.006 sync.py:124(read)
      720    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
       13    0.001    0.000    0.004    0.000 enum.py:894(_convert_)
      372    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
      279    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      955    0.001    0.000    0.001    0.000 contextlib.py:108(__init__)
      255    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1035    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
       38    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       24    0.001    0.000    0.007    0.000 dataclasses.py:929(_process_class)
      209    0.001    0.000    0.004    0.000 _compiler.py:514(_compile_info)
      615    0.001    0.000    0.004    0.000 _connection.py:398(_extract_next_receive_event)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     4228    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     6141    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      198    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
    255/8    0.001    0.000    0.185    0.023 <frozen importlib._bootstrap>:911(_load_unlocked)
      209    0.001    0.000    0.070    0.000 _compiler.py:743(compile)
       33    0.001    0.000    0.426    0.013 __init__.py:1(<module>)
    52/14    0.001    0.000    0.011    0.001 css_parser.py:911(parse_selectors)
      226    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1647    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
     3819    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      329    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      795    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      130    0.000    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     2823    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      544    0.000    0.000    0.001    0.000 enum.py:825(__setattr__)
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
     1073    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      954    0.000    0.000    0.001    0.000 contextlib.py:145(__exit__)
     4177    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      955    0.000    0.000    0.001    0.000 contextlib.py:303(helper)
       14    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
     3213    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       95    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
     1481    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      209    0.000    0.000    0.043    0.000 _parser.py:970(parse)
       51    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      224    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
     2942    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2020    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      286    0.000    0.000    0.399    0.001 http11.py:196(_receive_response_body)
      448    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     5479    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
     2672    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     3339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      719    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
       38    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     3231    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      206    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
    224/7    0.000    0.000    0.185    0.026 <frozen importlib._bootstrap_external>:1020(exec_module)
       61    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      146    0.000    0.000    0.001    0.000 enum.py:353(__setitem__)
      290    0.000    0.000    0.000    0.000 _state.py:318(_fire_state_triggered_transitions)
      955    0.000    0.000    0.001    0.000 contextlib.py:136(__enter__)
      672    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1253    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      228    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
     2587    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
   593/15    0.000    0.000    0.184    0.012 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2672    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
      894    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      286    0.000    0.000    0.404    0.001 _models.py:884(iter_bytes)
  369/354    0.000    0.000    0.006    0.000 typing.py:426(inner)
       76    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
  255/252    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      789    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      333    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      286    0.000    0.000    0.400    0.001 _models.py:935(iter_raw)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      751    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        3    0.000    0.000    0.000    0.000 _headers.py:150(normalize_and_validate)
      328    0.000    0.000    1.821    0.006 ssl.py:1278(recv)
      286    0.000    0.000    0.000    0.000 _events.py:299(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      614    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
 1117/790    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      329    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       94    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      424    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.057    0.057 fake.py:99(__init__)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      290    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
     1839    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       94    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
