('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849322 function calls (822918 primitive calls) in 1.870 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      907    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      894    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      859    0.001    0.000    0.001    0.000 __init__.py:648(_linkage_fixer)
      826    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      793    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      633    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      604    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      572    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      549    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
  548/530    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      546    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      538    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      536    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
  529/525    0.004    0.000    0.062    0.000 {built-in method builtins.__build_class__}
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      512    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      495    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      495    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
      487    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
    485/9    0.000    0.000    0.174    0.019 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      442    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      441    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      434    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      434    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      415    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      404    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      375    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      369    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      365    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      358    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      357    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      356    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      344    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      334    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      334    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      332    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      326    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
      320    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
      315    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      315    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      303    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      291    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      289    0.001    0.000    0.082    0.000 __init__.py:330(_compile)
      281    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      275    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      275    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      274    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      274    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      273    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      273    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      263    0.000    0.000    0.082    0.000 __init__.py:287(compile)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      257    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      256    0.000    0.000    0.000    0.000 socket.py:744(readable)
      255    0.000    0.000    1.212    0.005 ssl.py:1289(recv_into)
      255    0.000    0.000    1.212    0.005 ssl.py:1129(read)
      255    0.000    0.000    1.213    0.005 socket.py:706(readinto)
      255    1.212    0.005    1.212    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      255    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      255    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      249    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
    233/5    0.001    0.000    0.175    0.035 <frozen importlib._bootstrap>:1349(_find_and_load)
    231/5    0.001    0.000    0.175    0.035 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      231    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      231    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      230    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      229    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      229    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      229    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      226    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      226    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      225    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      225    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
  224/187    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      221    0.001    0.000    0.345    0.002 {method 'read' of '_io.BufferedReader' objects}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      204    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      202    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    202/5    0.000    0.000    0.175    0.035 <frozen importlib._bootstrap>:911(_load_unlocked)
      202    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      202    0.000    0.000    0.049    0.000 _parser.py:970(parse)
      202    0.001    0.000    0.080    0.000 _compiler.py:743(compile)
      202    0.001    0.000    0.005    0.000 _compiler.py:514(_compile_info)
      202    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      202    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      202    0.000    0.000    0.030    0.000 _compiler.py:576(_code)
  202/199    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      202    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      199    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      196    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      191    0.000    0.000    0.003    0.000 _parser.py:97(closegroup)
      191    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      191    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      188    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
      186    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
      186    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      174    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    174/1    0.001    0.000    1.871    1.871 {built-in method builtins.exec}
  173/170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      172    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      172    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      172    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    172/4    0.000    0.000    0.175    0.044 <frozen importlib._bootstrap_external>:1020(exec_module)
      172    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      172    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
      172    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      160    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      157    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      143    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
